smiles,gap
CCC1C(C)N1C,0.2892
CCC1C(O)C1O,0.2792
CCN1C(C)C1C,0.2906
COC1C(C)C1C,0.3139
COC1C(C)C1O,0.2949
COC1C(O)C1O,0.2886
OCC1C(O)C1O,0.276
C#CC12CC1CC2,0.2702
C#CC12CC1CO2,0.2469
C#CC12CC1OC2,0.2644
C#CC12CCC1N2,0.275
C#CC12CCC1O2,0.2638
C#CC12CN1CC2,0.2526
N#CC12CC1CC2,0.2885
N#CC12CC1CN2,0.2557
N#CC12CC1CO2,0.2541
N#CC12CC1NC2,0.252
N#CC12CC1OC2,0.2717
N#CC12CCC1N2,0.2902
N#CC12CCC1O2,0.2755
N#CC12CN1CC2,0.2591
O=CC12CC1CC2,0.2263
O=CC12CC1CO2,0.2186
O=CC12CC1OC2,0.2213
O=CC12CCC1N2,0.2211
O=CC12CCC1O2,0.2152
O=CC12CN1CC2,0.2145
CCC12CC1CC2,0.3313
CCC12CC1CO2,0.309
CCC12CC1OC2,0.3027
CCC12CCC1O2,0.3285
COC12CC1CC2,0.34
COC12CC1OC2,0.3069
OCC12CC1CC2,0.3263
OCC12CC1CO2,0.3025
OCC12CC1OC2,0.3025
OCC12CCC1N2,0.3255
OCC12CCC1O2,0.328
OCC12CN1CC2,0.2996
N=C1NCC11CO1,0.2518
N=C1OCC11CC1,0.2819
N=C1OCC11CN1,0.2698
N=C1OCC11CO1,0.2721
O=C1CCC11CC1,0.2191
O=C1CCC11CN1,0.2143
O=C1CCC11CO1,0.2054
O=C1CNC11CC1,0.2096
O=C1COC11CC1,0.219
O=C1NCC11CC1,0.2815
O=C1NCC11CN1,0.2707
O=C1NCC11CO1,0.2609
O=C1OCC11CC1,0.2802
O=C1OCC11CN1,0.2665
O=C1OCC11CO1,0.2595
CC1CCC11CC1,0.3531
CC1CCC11CO1,0.3322
CC1COC11CC1,0.3067
CC1OCC11CC1,0.3179
CC1OCC11CN1,0.31
CC1OCC11CO1,0.3285
OC1CCC11CC1,0.3331
OC1CCC11CN1,0.3123
OC1CCC11CO1,0.3135
OC1COC11CC1,0.2893
C1CC11CC=CC1,0.2643
C1CC11CN=CO1,0.2598
C1OC11CC=CC1,0.2683
C1CC11CCC=C1,0.2477
C1CC11COC=N1,0.252
C1CC11OCC=C1,0.2267
C1NC11CCC=C1,0.2385
C1OC11CCC=C1,0.2519
C1CC11CCCC1,0.3514
C1CC11CCCO1,0.3118
C1CC11CCOC1,0.3336
C1CC11COCO1,0.336
C1NC11CCOC1,0.3146
C1OC11CCCC1,0.3329
C1OC11CCOC1,0.3263
CC1(CC1)C1CC1,0.3309
CC1(CC1)C1CO1,0.3588
CC1(CC1)N1CC1,0.3114
CC1(CN1)C1CN1,0.3037
CC1(CN1)C1CO1,0.3237
CC1(CO1)C1CC1,0.3549
CC1(CO1)C1CN1,0.3313
CC1(CO1)C1CO1,0.3414
OC1(CC1)C1CC1,0.3179
OC1(CC1)C1CN1,0.2947
OC1(CC1)C1CO1,0.3296
C1C2C=CC1C=C2,0.2181
O1C2C=CC1C=C2,0.2019
C1CC2CC1C=C2,0.2567
C1CC2OC1C=C2,0.2568
C1OC2CC1C=C2,0.2466
C1OC2OC1C=C2,0.2451
C1CC2CC1CO2,0.3182
C1CC2CCC1C2,0.3619
C1CC2CCC1O2,0.3273
C1CC2OCC1O2,0.3343
C1OC2CC1CO2,0.3353
C1OC2COC1C2,0.3354
CC1C2CC2C1=O,0.227
CC1C2CN2C1=O,0.2338
CC1C2NC2C1=O,0.2174
CC1C2OC2C1=O,0.2133
CC1N2CC2C1=O,0.2189
CN1C2CC2C1=O,0.2486
OC1C2CC2C1=O,0.2145
OC1C2CN2C1=N,0.2474
OC1C2CN2C1=O,0.2216
OC1C2NC2C1=O,0.202
OC1C2OC2C1=O,0.2034
CC1C(O)C2CN12,0.2923
CC1C2CC2C1C,0.3364
CC1C2CC2C1O,0.3196
CC1C2NC2C1O,0.3113
CC1C2OC2C1C,0.3422
CC1C2OC2C1O,0.3269
OC1C2CC2C1O,0.321
OC1C2NC2C1O,0.2977
OC1C2OC2C1O,0.3005
CC12CC1C1CC21,0.2933
CC12CC1C1CN21,0.2921
CC12CC1C1NC21,0.2855
CC12CC1C1OC21,0.293
CC12CC1N1CC21,0.2909
CC12CN1C1CC21,0.2935
CC12NC1C1CC21,0.2846
CC12NC1C1NC21,0.2714
CC12NC1C1OC21,0.2769
CC12OC1C1CC21,0.2953
CC12OC1C1NC21,0.2803
CC12OC1C1OC21,0.2936
OC12CC1C1CC21,0.2888
OC12CC1C1NC21,0.2817
OC12CC1C1OC21,0.2932
OC12CC1N1CC21,0.2898
C(C1CC1)C1CC1,0.3641
C(C1CC1)C1CO1,0.3573
C(C1CC1)N1CC1,0.322
C(C1CN1)N1CC1,0.3065
C(C1CO1)C1CO1,0.354
C(C1CO1)N1CC1,0.3289
C1CC1OC1CC1,0.336
C1CC11CC2CC12,0.3409
C1CC11CC2NC12,0.3077
C1CC11CC2OC12,0.3361
C1C2N1CC21CC1,0.3055
C1CC11OC2CC12,0.3049
C1NC11CC2NC12,0.3049
C1NC11CC2OC12,0.3189
C1NC11CN2CC12,0.295
C1C2CC3(CO3)C12,0.3398
C1OC11CC2NC12,0.3059
C1OC11CC2OC12,0.3282
C1OC11CN2CC12,0.3132
C1C=CC=CC=C1,0.185
C1CC=CC=CC1,0.1902
C1OCC=CC=C1,0.1898
C1CC=CCC=C1,0.255
C1OC=NCC=C1,0.2555
C1CC=CCCO1,0.2529
C1CCC=CCC1,0.2576
C1CCN=COC1,0.2609
C1CN=COCO1,0.2602
C1COCC=CC1,0.2622
C1OCC=CCO1,0.263
C1CCCCCC1,0.3757
C1CCCOCC1,0.3242
C1CCOCOC1,0.3432
C1COCCOC1,0.3276
N=C1NC2COC12,0.2515
N=C1OC2CCC12,0.2844
N=C1OC2CNC12,0.2553
N=C1OC2COC12,0.2649
O=C1CC2CCC12,0.2181
O=C1CC2CCN12,0.2374
O=C1CC2COC12,0.1998
O=C1CC2OCC12,0.2184
O=C1CN2CCC12,0.2035
O=C1NC2CCC12,0.2714
O=C1NC2COC12,0.2481
O=C1OC2CCC12,0.2795
O=C1OC2CNC12,0.2426
O=C1OC2COC12,0.2484
CC1CC2CCC12,0.3436
CC1CC2COC12,0.3138
CC1CC2OCC12,0.3165
CC1OC2CCC12,0.3186
CC1OC2COC12,0.3075
CN1CC2OCC12,0.2866
OC1CC2CCC12,0.3214
OC1CC2COC12,0.2994
OC1CC2OCC12,0.3119
OC1CN2CCC12,0.2697
C#CC1CC2CC12,0.3037
C#CC1CC2CN12,0.2647
C#CC1CC2NC12,0.2822
C#CC1CC2OC12,0.2929
C#CC1OC2CC12,0.2595
N#CC1CC2CC12,0.311
N#CC1CC2CN12,0.2653
N#CC1CC2NC12,0.28
N#CC1CC2OC12,0.2993
N#CC1CN2CC12,0.2772
N#CC1NC2CC12,0.2536
N#CC1OC2CC12,0.2617
O=CC1CC2CC12,0.2209
O=CC1CC2CN12,0.2122
O=CC1CC2NC12,0.2082
O=CC1CC2OC12,0.2163
O=CC1CN2CC12,0.2098
O=CC1OC2CC12,0.2128
O=CN1CC2CC12,0.2588
CN=C1OC2CC12,0.2724
CCC1CC2CC12,0.3391
CCC1CC2OC12,0.338
CCC1OC2CC12,0.3199
COC1CC2CC12,0.3289
COC1CC2NC12,0.3075
COC1CC2OC12,0.327
COC1CN2CC12,0.3064
OCC1CC2CC12,0.33
OCC1CC2CN12,0.3106
OCC1CC2NC12,0.3082
OCC1CC2OC12,0.3287
OCC1CN2CC12,0.3024
OCC1OC2CC12,0.3119
C1C2CC=CCC12,0.2662
C1C2CN=COC12,0.2736
C1C=CCC2OC12,0.2697
C1C2CCC=CC12,0.2465
C1C2COC=NC12,0.2525
C1C2OCC=CC12,0.2356
C1CC2NC2C=C1,0.2498
C1CC2OC2C=C1,0.2413
C1C2CCCCC12,0.3426
C1C2CCCOC12,0.3058
C1C2CCOCC12,0.3301
C1C2COCCN12,0.2969
C1C2COCOC12,0.3142
C1C2OCCOC12,0.3093
C1CC2NC2CO1,0.3125
C1CC2OC2CO1,0.3333
C1CCC2OC2C1,0.3433
C1CC2=CCCC12,0.2464
C1CC2=CCOC12,0.2359
C1OC2=NCCC12,0.2662
C1OC2CCC=C12,0.2431
C1CC2C=CCC12,0.2618
C1CC2N=COC12,0.2636
C1OC2C=CCC12,0.2514
C1OC2CC=CC12,0.2614
C1CC2CCCC12,0.3604
C1CC2COCC12,0.3287
C1CC2OCCC12,0.3202
C1CC2OCOC12,0.3287
C1OC2CCCC12,0.3217
C1OC2CCOC12,0.3317
C1OC2COCC12,0.3256
CC1C2CC=CC12,0.2465
CC1C2OC=NC12,0.2559
OC1C2CC=CC12,0.2346
OC1C2OC=NC12,0.2557
CC1C2CCCC12,0.3377
CC1C2CCOC12,0.318
CC1C2COCC12,0.327
CC1C2OCOC12,0.3381
CN1C2COCC12,0.3133
OC1C2CCCC12,0.314
OC1C2CCOC12,0.3133
OC1C2COCC12,0.3105
OC1C2OCOC12,0.3079
C#CC1C2CCC12,0.2931
C#CC1C2CCN12,0.2619
C#CC1C2COC12,0.2806
N#CC1C2CCC12,0.3186
N#CC1C2CCN12,0.2668
N#CC1C2COC12,0.2871
O=CC1C2CCC12,0.2192
O=CC1C2CCN12,0.2067
O=CC1C2COC12,0.2145
O=CN1C2CCC12,0.2447
CCC1C2CCC12,0.3371
CCC1C2COC12,0.3111
COC1C2CCC12,0.3264
COC1C2COC12,0.2973
OCC1C2CCC12,0.3227
OCC1C2CCN12,0.294
OCC1C2COC12,0.3067
CC1C2CC(=O)C12,0.2297
CC1C2CC(=O)N12,0.2346
CC1C2N1CC2=O,0.2179
CC1C2NC(=O)C12,0.2534
CC1C2OC(=N)C12,0.2779
CC1C2OC(=O)C12,0.2772
CN1C2CC(=O)C12,0.2088
OC1C2CC(=O)C12,0.2306
OC1C2NC(=O)C12,0.2531
OC1C2OC(=N)C12,0.2654
OC1C2OC(=O)C12,0.262
CC1C2C(O)CN12,0.2879
CC1C2CC(C)C12,0.3328
CC1C2CC(O)C12,0.3214
CC1C2OC(C)C12,0.3213
CC1CC2C(O)C12,0.3161
CC1OC2C(O)C12,0.3036
CN1C2CC(O)C12,0.2947
OC1C2CC(O)C12,0.3131
O=C1C=CC2CC12,0.1876
O=C1C=CC2CN12,0.1979
O=C1C=CC2NC12,0.1771
O=C1C=CC2OC12,0.1729
N=C1OCC2CC12,0.2792
N=C1OCC2CN12,0.2857
N=C1OCC2NC12,0.2658
N=C1OCC2OC12,0.2681
O=C1CCC2CC12,0.2264
O=C1CCC2CN12,0.2417
O=C1CCC2NC12,0.2152
O=C1CCC2OC12,0.2127
O=C1CCN2CC12,0.2187
O=C1COC2CC12,0.2169
O=C1NCC2CC12,0.2679
O=C1NCC2CN12,0.2896
O=C1NCC2NC12,0.255
O=C1NCC2OC12,0.2514
O=C1OCC2CC12,0.2731
O=C1OCC2CN12,0.2905
O=C1OCC2NC12,0.2526
O=C1OCC2OC12,0.2509
CC1=CCC2CC12,0.2483
CC1=CCC2NC12,0.2482
CC1=CCC2OC12,0.2454
NC1=NCC2OC12,0.2466
CC1C=CC2CC12,0.2472
CC1C=CC2NC12,0.245
CC1C=CC2OC12,0.2456
OC1C=CC2CC12,0.2419
OC1C=CC2NC12,0.2378
OC1C=CC2OC12,0.2399
CC1CCC2CC12,0.3484
CC1CCC2OC12,0.3457
CC1COC2CC12,0.3139
CC1OCC2CC12,0.3382
CC1OCC2NC12,0.3133
CC1OCC2OC12,0.3436
OC1CCC2CC12,0.3301
OC1CCC2NC12,0.3096
OC1CCC2OC12,0.3295
OC1CCN2CC12,0.2964
OC1COC2CC12,0.3056
O=C1C2CC1C=C2,0.25
O=C1C2NC1C=C2,0.2349
O=C1C2OC1C=C2,0.2501
O=C1C2CC1CC2,0.2306
O=C1C2CC1OC2,0.2082
O=C1C2CCC1N2,0.2377
O=C1C2CCC1O2,0.2354
CC1C2CC1C=C2,0.2412
CC1C2OC1C=C2,0.2367
CN1C2CC1C=C2,0.2183
OC1C2CC1C=C2,0.2421
OC1C2NC1C=C2,0.2298
OC1C2OC1C=C2,0.2448
CC1C2CC1CC2,0.3723
CC1C2CC1OC2,0.3262
CC1C2CCC1O2,0.3301
OC1C2CC1CC2,0.3169
OC1C2CC1OC2,0.2991
OC1C2CCC1O2,0.3113
CC12C3CC1CC23,0.3379
CC12C3CC1CN23,0.3312
CC12C3CC1OC23,0.3107
CC12C3CN1CC23,0.3148
OC12C3CC1CC23,0.3071
OC12C3CC1OC23,0.2962
CC12C3C4C(C13)N24,0.282
CC12C3C4C1N4C23,0.2784
CC12C3C4C3C1C24,0.3049
CC12C3C4C3N1C24,0.2821
OC12C3C4C1N4C23,0.2728
OC12C3C4C3C1C24,0.2916
C1C2CC3CC2C13,0.3728
C1C2CC3OC2C13,0.328
C1C2NC3C1OC23,0.3034
C1C2OC3C1OC23,0.3127
C1C2OC3CC2C13,0.3369
C1C2C3CC1CC23,0.3554
C1C2C3CC1CN23,0.328
C1C2C3CC1OC23,0.3266
C1C2C3OC1OC23,0.3341
C#CC1C2CC1C2,0.299
C#CC1C2CC1O2,0.2761
C#CC1C2CN1C2,0.2571
N#CC1C2CC1C2,0.3299
N#CC1C2CC1N2,0.2773
N#CC1C2CC1O2,0.2761
N#CC1C2CN1C2,0.2577
O=CC1C2CC1C2,0.2206
O=CC1C2CC1O2,0.2035
O=CC1C2CN1C2,0.2044
O=CN1C2CC1C2,0.2501
CCC1C2CC1C2,0.3839
CCC1C2CC1O2,0.316
COC1C2CC1C2,0.3468
COC1C2CC1O2,0.313
OCC1C2CC1C2,0.3377
OCC1C2CC1O2,0.3019
OCC1C2CN1C2,0.3099
C1CC1C1CCC1,0.3527
C1CC1C1CCO1,0.3288
C1CC1C1COC1,0.3266
C1CN1C1CCC1,0.3125
C1CN1C1COC1,0.3113
C1NC1C1CCO1,0.3166
C1OC1C1CCC1,0.3485
C1OC1C1CCO1,0.3213
C1OC1C1COC1,0.3292
C1CC11C2CC1C2,0.3706
C1CC11C2CC1O2,0.3214
C1NC11C2CC1O2,0.315
C1OC11C2CC1C2,0.3559
C1OC11C2CC1O2,0.3194
CC1C2C3CC2C13,0.3808
CC1C2C3CC2N13,0.3179
CC1C2C3CN2C13,0.3091
CC1C2C3OC2C13,0.3061
CN1C2C3CC2C13,0.2987
CN1C2C3NC2C13,0.2828
CN1C2C3OC2C13,0.2848
OC1C2C3CC2C13,0.323
OC1C2C3CN2C13,0.2943
OC1C2C3OC2C13,0.3003
C1C2C3C=CC2C13,0.227
C1C2C3C=CC2N13,0.2086
O1C2C3C=CC2C13,0.2236
C1C2C3CCC2C13,0.3897
C1C2C3COC2C13,0.3438
C1CC2C3OC2C13,0.3046
C1OC2C3OC2C13,0.3067
O=C1C2C3C1CN23,0.228
O=C1C2C3CC1C23,0.2444
O=C1C2C3CC1N23,0.2343
O=C1C2C3CN1C23,0.2453
O=C1C2C3OC1C23,0.2251
O=C1C2CC3C2N13,0.2506
CC1C2C3C1CN23,0.3195
CC1C2C3CC1C23,0.3422
CC1C2C3CC1N23,0.3212
CC1C2C3CN1C23,0.3138
CC1C2C3OC1C23,0.3119
CC1C2CC3C2N13,0.3265
CN1C2C3CC1C23,0.2979
OC1C2C3C1CN23,0.3007
OC1C2C3CC1C23,0.3235
OC1C2C3CC1N23,0.3088
OC1C2C3OC1C23,0.3133
C1C2C1C1CC2C1,0.3478
C1C2C1C1CC2O1,0.3391
C1C2C3CC(C3)N12,0.3322
C1C2CC1C1OC21,0.3442
C1C2OC1C1NC21,0.3114
C1C2OC1C1OC21,0.3116
C1C2C1C1CCC21,0.3171
C1C2C1C1OCC21,0.3117
C1C2C3OCC3N12,0.2828
C1CC2C3OC3C12,0.3253
C1OC2C3NC3C12,0.2935
C1OC2C3OC3C12,0.2962
CC1C2C3CC3C12,0.2833
CC1C2C3CC3N12,0.2781
CC1C2C3CN3C12,0.2847
CC1C2C3NC3C12,0.2763
CC1C2C3OC3C12,0.2853
CN1C2C3CC3C12,0.2774
CN1C2C3NC3C12,0.263
CN1C2C3OC3C12,0.2625
OC1C2C3CC3C12,0.2773
OC1C2C3CN3C12,0.2807
OC1C2C3NC3C12,0.2792
OC1C2C3OC3C12,0.285
C1C2C3NC3CN12,0.2925
C1C2C3OC3CN12,0.2922
C1C2CC3CC3C12,0.3226
C1C2CC3OC3C12,0.3368
C1C2NC2C2NC12,0.2895
C1C2NC2C2OC12,0.3083
C1C2OC2C2OC12,0.3201
C1C2OC3CC3C12,0.3135
CC1CC1C1CC1,0.3342
CC1CC1C1CO1,0.35
CC1CC1N1CC1,0.32
CC1CN1C1CC1,0.3135
CC1NC1C1CN1,0.3023
CC1NC1C1CO1,0.3195
CC1OC1C1CC1,0.3418
CC1OC1C1CN1,0.3387
CC1OC1C1CO1,0.3411
CN1CC1C1CC1,0.3122
CN1CC1C1CN1,0.2986
CN1CC1C1CO1,0.3092
OC1CC1C1CC1,0.324
OC1CC1C1CO1,0.3156
OC1CC1N1CC1,0.3086
C1C2CC3CC1C23,0.3468
C1C2CC3CC1N23,0.2946
C1C2CC3OC1C23,0.3127
C1C2OC3CN1C23,0.2741
C1C2C3C=CC1C23,0.2379
O1C2C3C=CC1C23,0.226
C1C2C3CC=C1C23,0.1787
C1N=C2OC3C1C23,0.1616
C1C2C3CCC1C23,0.3435
C1C2C3COC1C23,0.3293
C1C2C3OCC1C23,0.3208
C1C2OCC3C2N13,0.3177
C1CC2OC3C1C23,0.3122
C1OC2C3OC1C23,0.2921
C1C2C3C4C1C2N34,0.3043
C1C2C3C4C2C1N34,0.307
C1C2C3C4C3C2C14,0.34
C1C2C3C4C3N1C24,0.2986
C1C2C3C4C3N2C14,0.3075
O1C2C3C4C1C2N34,0.3049
O1C2C3C4C3C2C14,0.328
C1C2C3C2C2C1C32,0.3111
C1C2C3C2C2C3N12,0.3013
C1C2C3C2N2C1C32,0.3016
O1C2C3C2C2C1C32,0.3214
C#CC1=CC=NN1,0.2132
C#CC1=CC=NO1,0.2043
C#CC1=CN=NN1,0.2135
C#CC1=CN=NO1,0.2007
C#CC1=CNN=C1,0.228
C#CC1=CNN=N1,0.2288
C#CC1=CON=C1,0.2179
C#CC1=CON=N1,0.2069
C#CC1=NC=NO1,0.2143
C#CC1=NNC=C1,0.2274
C#CC1=NNC=N1,0.2292
C#CC1=NNN=C1,0.2239
C#CC1=NNN=N1,0.2273
C#CC1=NOC=C1,0.2255
C#CC1=NOC=N1,0.2249
C#CC1=NON=C1,0.215
C#CC1=NON=N1,0.208
C1CC2=CC=NN12,0.2683
C1CC2=CN=NN12,0.2611
C1CC2=NC=NN12,0.2752
CC1=C(C)C=NN1,0.2508
CC1=C(C)C=NO1,0.2393
CC1=C(C)N=NN1,0.2436
CC1=C(C)N=NO1,0.2263
CC1=C(N)C=NN1,0.2276
CC1=C(N)C=NO1,0.2104
CC1=C(N)N=NN1,0.2164
CC1=C(N)N=NO1,0.1986
CC1=C(N)NN=C1,0.2396
CC1=C(N)NN=N1,0.2297
CC1=C(N)ON=C1,0.2242
CC1=C(N)ON=N1,0.2091
CC1=C(O)C=NN1,0.2306
CC1=C(O)N=NN1,0.2215
CC1=C(O)N=NO1,0.2023
CC1=C(O)NN=C1,0.2514
CC1=CC(C)=NN1,0.2587
CC1=CC(C)=NO1,0.2483
CC1=CC(N)=NN1,0.232
CC1=CC(N)=NO1,0.2348
CC1=CC(O)=NN1,0.244
CC1=CC(O)=NO1,0.2474
CC1=CN=CN=N1,0.1657
CC1=CN=NC=N1,0.17
CC1=CN=NN=N1,0.1686
CC1=CNN=C1C,0.2603
CC1=CNN=C1N,0.2361
CC1=CNN=C1O,0.2462
CC1=CON=C1C,0.2499
CC1=CON=C1N,0.2388
CC1=CON=C1O,0.2547
CC1=NC(C)=NN1,0.2627
CC1=NC(C)=NO1,0.2623
CC1=NC(N)=NN1,0.2339
CC1=NC(N)=NO1,0.2308
CC1=NC(O)=NN1,0.2468
CC1=NC(O)=NO1,0.2448
CC1=NC=CN=N1,0.1633
CC1=NC=NN=N1,0.1613
CC1=NN=C(C)N1,0.2641
CC1=NN=C(C)O1,0.2611
CC1=NNC(=O)N1,0.2422
CC1=NNC(=O)O1,0.2484
CC1=NNC(N)=C1,0.2457
CC1=NNC(N)=N1,0.2555
CC1=NNC(O)=C1,0.2602
CC1=NNC(O)=N1,0.2697
CC1=NNC=C1N,0.2274
CC1=NNC=C1O,0.2371
CC1=NNN=C1C,0.2534
CC1=NNN=C1N,0.224
CC1=NNN=C1O,0.2347
CC1=NOC(=N)O1,0.2444
CC1=NOC(=O)N1,0.2546
CC1=NOC(=O)O1,0.2683
CC1=NOC(N)=C1,0.2344
CC1=NOC(N)=N1,0.2521
CC1=NOC=C1N,0.2181
CC1=NON=C1C,0.2576
CC1=NON=C1N,0.2211
CCC1=CC=NN1,0.2573
CCC1=CC=NO1,0.2449
CCC1=CN=NN1,0.2525
CCC1=CN=NO1,0.2344
CCC1=CNN=C1,0.259
CCC1=CNN=N1,0.2519
CCC1=CON=C1,0.246
CCC1=CON=N1,0.2326
CCC1=NC=NN1,0.2698
CCC1=NC=NO1,0.2629
CCC1=NNC=C1,0.2674
CCC1=NNC=N1,0.2689
CCC1=NNN=C1,0.2579
CCC1=NNN=N1,0.2625
CCC1=NOC=C1,0.2552
CCC1=NOC=N1,0.2676
CCC1=NON=C1,0.2583
CCC1=NON=N1,0.248
CCN1C=CC=N1,0.2626
CCN1C=CN=N1,0.2585
CCN1C=NC=N1,0.2717
CCN1C=NN=C1,0.2664
CCN1C=NN=N1,0.2672
CCN1N=CC=N1,0.2576
CCN1N=CN=N1,0.2664
CCN1N=NN=N1,0.273
CN1C=C(C)C=N1,0.2534
CN1C=C(C)N=N1,0.2499
CN1C=C(N)C=N1,0.2212
CN1C=C(N)N=N1,0.2155
CN1C=C(O)C=N1,0.2325
CN1C=C(O)N=N1,0.2266
CN1C=CC(C)=N1,0.2589
CN1C=CC(N)=N1,0.2302
CN1C=CC(O)=N1,0.2412
CN1C=NC(C)=N1,0.2646
CN1C=NC(N)=N1,0.2303
CN1C=NC(O)=N1,0.2441
CN1C=NNC1=O,0.2362
CN1C=NOC1=N,0.2268
CN1C=NOC1=O,0.2452
CN1N=CC(C)=N1,0.2501
CN1N=CC(N)=N1,0.22
CN1N=CC(O)=N1,0.2316
CN1N=CC=C1C,0.2575
CN1N=CC=C1N,0.2438
CN1N=CC=C1O,0.2546
CN1N=CN=C1C,0.2626
CN1N=CN=C1N,0.2521
CN1N=CN=C1O,0.2649
CN1N=CNC1=O,0.2344
CN1N=COC1=N,0.2152
CN1N=COC1=O,0.2392
CN1N=NC(C)=N1,0.2585
CN1N=NC(N)=N1,0.2182
CN1N=NC(O)=N1,0.2352
CN1N=NC=C1C,0.2526
CN1N=NC=C1N,0.2368
CN1N=NC=C1O,0.2482
CN1N=NNC1=N,0.2027
CN1N=NNC1=O,0.2255
CN1N=NOC1=N,0.2064
CN1N=NOC1=O,0.23
CN=C1NC=NO1,0.2207
CN=C1NN=NN1,0.1965
CN=C1OC=NO1,0.2319
CN=C1ON=NO1,0.2063
CNC1=CC=NN1,0.2379
CNC1=CC=NO1,0.224
CNC1=CN=NN1,0.2295
CNC1=CN=NO1,0.2097
CNC1=CNN=C1,0.2174
CNC1=CNN=N1,0.2093
CNC1=CON=C1,0.2082
CNC1=CON=N1,0.1892
CNC1=NC=NN1,0.2512
CNC1=NC=NO1,0.2411
CNC1=NNC=C1,0.2246
CNC1=NNC=N1,0.2251
CNC1=NNN=C1,0.2135
CNC1=NNN=N1,0.2066
CNC1=NOC=C1,0.2223
CNC1=NOC=N1,0.2215
CNC1=NON=C1,0.2037
CNC1=NON=N1,0.1925
COC1=CC=NN1,0.2531
COC1=CC=NO1,0.237
COC1=CN=NO1,0.2199
COC1=CNN=C1,0.2329
COC1=CNN=N1,0.2234
COC1=CON=C1,0.2254
COC1=CON=N1,0.2023
COC1=NC=NO1,0.2578
COC1=NNC=C1,0.2458
COC1=NNC=N1,0.2474
COC1=NNN=C1,0.2343
COC1=NNN=N1,0.2305
COC1=NOC=C1,0.25
COC1=NOC=N1,0.2474
COC1=NON=C1,0.2312
COC1=NON=N1,0.2195
N#CC1=CC=NN1,0.2236
N#CC1=CC=NO1,0.2156
N#CC1=CN=NO1,0.212
N#CC1=CNN=C1,0.2433
N#CC1=CNN=N1,0.2453
N#CC1=CON=C1,0.2337
N#CC1=CON=N1,0.2244
N#CC1=NC=NO1,0.2261
N#CC1=NNC=C1,0.2425
N#CC1=NNC=N1,0.2445
N#CC1=NNN=C1,0.2411
N#CC1=NOC=C1,0.234
N#CC1=NOC=N1,0.2422
N#CC1=NON=C1,0.2355
N#CC1=NON=N1,0.2295
N=C1C=CNN=N1,0.1694
N=C1C=CON=C1,0.1854
N=C1C=CON=N1,0.1662
N=C1C=NNC=N1,0.1856
N=C1C=NNN=C1,0.181
N=C1C=NNN=N1,0.1763
N=C1C=NOC=N1,0.2028
N=C1C=NON=C1,0.1899
N=C1C=NON=N1,0.1747
N=C1N=CNN=N1,0.1795
N=C1N=CON=N1,0.2239
N=C1N=NNN=N1,0.1668
N=C1N=NON=N1,0.1641
N=C1NN=CC=C1,0.1576
N=C1NN=CC=N1,0.1473
N=C1NN=CN=C1,0.1563
N=C1NN=NC=C1,0.1644
N=C1NN=NC=N1,0.1588
N=C1ON=CC=C1,0.1649
N=C1ON=CC=N1,0.1594
N=C1ON=CN=C1,0.1667
N=C1ON=NC=C1,0.1636
N=C1ON=NC=N1,0.1547
NC1=C(N)C=NN1,0.2386
NC1=C(N)C=NO1,0.223
NC1=C(N)N=NN1,0.2262
NC1=C(N)N=NO1,0.2066
NC1=C(O)C=NN1,0.2312
NC1=C(O)N=NN1,0.2215
NC1=C(O)N=NO1,0.1885
NC1=C(O)NN=C1,0.2508
NC1=C(O)NN=N1,0.2388
NC1=CC(N)=NN1,0.2376
NC1=CC(N)=NO1,0.2384
NC1=CC(O)=NN1,0.2441
NC1=CC(O)=NO1,0.2407
NC1=CN=CN=N1,0.1679
NC1=CN=NC=N1,0.1798
NC1=CN=NN=N1,0.1728
NC1=CNN=C1N,0.2248
NC1=CNN=C1O,0.2228
NC1=CON=C1N,0.2268
NC1=CON=C1O,0.2193
NC1=NC(N)=NN1,0.2391
NC1=NC(N)=NO1,0.2447
NC1=NC(O)=NN1,0.2478
NC1=NC(O)=NO1,0.2517
NC1=NC=CN=N1,0.1667
NC1=NC=NN=N1,0.1683
NC1=NN=C(N)N1,0.2458
NC1=NN=C(N)O1,0.242
NC1=NNC(=O)N1,0.2481
NC1=NNC(=O)O1,0.2539
NC1=NNC(O)=C1,0.2505
NC1=NNC(O)=N1,0.251
NC1=NNN=C1N,0.214
NC1=NNN=C1O,0.2137
NC1=NOC(=N)N1,0.2449
NC1=NOC(=N)O1,0.2581
NC1=NOC(=O)N1,0.2605
NC1=NOC(=O)O1,0.2712
NC1=NON=C1N,0.218
NCC1=NC=NO1,0.228
[NH3+]CC1=N[N-]N=N1,0.2658
NCC1=NON=N1,0.1949
O=C1C=CNN=C1,0.1878
O=C1C=CON=C1,0.1836
O=C1C=CON=N1,0.2023
O=C1C=NOC=N1,0.184
O=C1C=NON=C1,0.1674
O=C1C=NON=N1,0.1514
O=C1N=CON=N1,0.2391
O=C1N=NON=N1,0.1485
O=C1NN=CC=C1,0.1759
O=C1NN=CC=N1,0.1721
O=C1NN=CN=C1,0.1669
O=C1NN=NC=C1,0.1775
O=C1NN=NC=N1,0.1594
O=C1ON=CC=C1,0.1811
O=C1ON=CC=N1,0.1647
O=C1ON=CN=C1,0.1594
